mood,valence,instrumentalness,acousticness,liveness,energy,speechiness,danceability
2,0.56,0.23,0.203,0.467,0.102,0.573,1.09E-06
2,0.174,0.0295,0.901,0.45,0.108,0.33,0.0042
2,0.323,0.0529,0.912,0.816,0.0916,0.213,4.02E-06
2,0.408,0.192,0.757,0.515,0.622,0.387,0
2,0.352,0.129,0.356,0.587,0.0812,0.453,0.00205
2,0.403,0.0331,0.538,0.532,0.0925,0.623,7.28E-05
2,0.179,0.035,0.554,0.416,0.075,0.436,0
2,0.113,0.0481,0.763,0.482,0.344,0.43,2.79E-06
2,0.263,0.0336,0.77,0.471,0.0729,0.396,0
2,0.165,0.0281,0.748,0.371,0.104,0.268,0.0517
2,0.185,0.0673,0.869,0.537,0.0976,0.17,0
2,0.259,0.029,0.039,0.338,0.107,0.562,0
2,0.237,0.0464,0.792,0.497,0.308,0.278,0
2,0.386,0.04,0.896,0.507,0.0966,0.294,1.97E-05
2,0.399,0.0483,0.887,0.708,0.101,0.298,0
2,0.434,0.0544,0.612,0.542,0.369,0.358,0
2,0.116,0.0763,0.389,0.391,0.102,0.335,0
2,0.258,0.0375,0.924,0.384,0.118,0.167,0
2,0.31,0.0424,0.598,0.697,0.107,0.336,0.00528
2,0.206,0.0578,0.726,0.588,0.0965,0.39,1.26E-05
2,0.335,0.0427,0.805,0.551,0.0977,0.268,0
2,0.441,0.0533,0.618,0.56,0.31,0.473,0
2,0.42,0.0594,0.738,0.485,0.0801,0.396,0
2,0.341,0.0577,0.798,0.53,0.0928,0.281,0
2,0.363,0.0533,0.499,0.436,0.38,0.409,0.000166
2,0.152,0.0309,0.528,0.331,0.109,0.341,0
2,0.592,0.0335,0.603,0.443,0.107,0.409,0
2,0.307,0.0346,0.926,0.632,0.294,0.349,7.50E-05
2,0.341,0.611,0.869,0.684,0.0881,0.449,0
2,0.416,0.0529,0.614,0.456,0.0908,0.615,0
2,0.496,0.304,0.776,0.378,0.115,0.334,0
2,0.232,0.0316,0.286,0.534,0.0889,0.493,0
2,0.0592,0.0299,0.839,0.567,0.089,0.267,1.46E-06
2,0.424,0.0316,0.866,0.785,0.115,0.318,0
2,0.227,0.0565,0.854,0.824,0.174,0.3,0
2,0.352,0.0645,0.951,0.691,0.0916,0.0682,0
2,0.256,0.0334,0.881,0.405,0.0933,0.279,0
2,0.137,0.0578,0.768,0.561,0.106,0.431,1.42E-05
