mood,speechiness,energy,valence,liveness,instrumentalness,acousticness,danceability
4,0.0305,0.306,0.157,0.123,0.323,0.942,0.38
2,0.387,0,0.932,0.088,0.28,0.0434,0.612
3,0.458,0.00005,0.545,0.78,0.0828,0.0436,0.0309
2,0.151,0.0575,0.731,0.445,0.124,0.455,0
1,0.657,0.053,0.0522,0.87,0.893,0.149,0.0102
4,0.0366,0.543,0.405,0.0953,0,0.429,0.379
2,0.219,0,0.577,0.193,0.487,0.0305,0.488
1,0.272,0.436,0.711,0.45,0.0313,0.00002,0.514
4,0.0353,0.353,0.269,0.0975,0.00942,0.616,0.416
2,0.162,0.33,0.973,0.119,0.104,0.0445,0.435
2,0.228,0.0347,0.932,0.322,0.149,0.231,0.00076
2,0.169,0.051,0.952,0.379,0.118,0.29,0.00106
2,0.351,0,0.913,0.117,0.25,0.0367,0.513
1,0.121,0.846,0.566,0.86,0.035,0.0008,0.00056
2,0.356,0,0.22,0.0986,0.329,0.0274,0.574
4,0.0266,0.738,0.482,0.106,0.352,0.0402,0.621
1,0.329,0.92,0.675,0.842,0.0539,0.117,0.0126
3,0.655,0,0.687,0.785,0.203,0.0333,0.327
1,0.832,0.138,0.0308,0.674,0.981,0.146,0.00001
1,0.583,0.406,0.0376,0.491,0.908,0.185,0
3,0.576,0.0809,0,0.1,0.485,0.00044,0.892
1,0.85,0.113,0.0413,0.802,0.923,0.126,0.00104
1,0.63,0.221,0.0389,0.687,0.926,0.251,0
1,0.114,0.441,0.823,0.752,0.156,0.00008,0.636
3,0.704,0,0.73,0.861,0.213,0.0451,0.39
3,0.826,0.0323,0,0.0357,0.61,0.00173,0.816
4,0.224,0.545,0.611,0.162,0.0149,0.35,0.514
4,0.718,0.396,0.177,0.139,0.221,0.0378,0
4,0.102,0.413,0.967,0.183,0.844,0.0305,0.641
1,0.969,0.119,0.0906,0.538,0.928,0.417,0.00154
3,0.104,0,0.628,0.593,0.096,0.0323,0.093
4,0.0911,0.519,0.36,0.108,0.0151,0.3,0.58
3,0.605,0,0.731,0.853,0.268,0.0363,0.0352
1,0.7,0.148,0.0454,0.739,0.881,0.0919,0
1,0.519,0.523,0.043,0.524,0.847,0.195,0
3,0.666,0.109,0,0.287,0.447,0.00126,0.788
3,0.769,0,0.678,0.918,0.0744,0.0355,0.00042
4,0.0327,0.387,0.772,0.0736,0.00633,0.179,0.745
1,0.611,0.0518,0.0311,0.588,0.937,0.197,0.00009
4,0.0306,0.389,0.593,0.0507,0.00004,0.369,0.482
1,0.198,0.924,0.671,0.799,0.099,0,0.0568
2,0.476,0,0.337,0.082,0.835,0.0486,0.576
3,0.588,0.0562,0.00001,0.123,0.648,0.014,0.931
2,0.49,0,0.144,0.0835,0.694,0.0242,0.63
1,0.0959,0.503,0.792,0.381,0.0626,0.00057,0.0369
