mood,speechiness,energy,valence,liveness,instrumentalness,acousticness,danceability
4,0.901,0.508,0.29,0.105,0.287,0.0298,0
4,0.842,0.633,0.491,0.172,0.234,0.0336,3.84E-06
4,0.873,0.461,0.195,0.11,0.381,0.0352,0
4,0.735,0.598,0.295,0.107,0.314,0.0276,0
4,0.958,0.398,0.174,0.158,0.153,0.0364,4.16E-06
4,0.506,0.736,0.449,0.117,0.487,0.0633,6.63E-05
4,0.173,0.534,0.538,0.248,0.289,0.0327,2.82E-06
4,0.818,0.68,0.34,0.285,0.418,0.034,0
4,0.0644,0.828,0.492,0.128,0.789,0.0276,0.00428
4,0.16,0.381,0.502,0.0842,0.147,0.0368,6.98E-05
4,0.814,0.576,0.453,0.267,0.418,0.0294,0
4,0.918,0.563,0.261,0.0982,0.411,0.0709,0
4,0.3,0.545,0.485,0.119,0.341,0.151,0.00137
4,0.424,0.617,0.439,0.127,0.242,0.0269,0
4,0.355,0.374,0.344,0.0966,0.216,0.0304,0
4,0.229,0.581,0.687,0.109,0.187,0.105,0
4,0.154,0.711,0.517,0.149,0.294,0.0391,0
4,0.968,0.425,0.257,0.115,0.341,0.0321,0.0181
4,0.608,0.58,0.428,0.117,0.147,0.0288,2.56E-06
4,0.889,0.367,0.189,0.364,0.177,0.0384,0.428
4,0.702,0.234,0.414,0.0391,0.144,0.0476,0
4,0.895,0.364,0.308,0.123,0.387,0.0402,0.0023
4,0.879,0.469,0.27,0.151,0.51,0.0471,0
4,0.00586,0.858,0.426,0.0977,0.419,0.0402,0.761
4,0.87,0.567,0.395,0.106,0.329,0.0303,0
4,0.949,0.62,0.11,0.16,0.211,0.0416,6.28E-06
4,0.718,0.396,0.177,0.139,0.221,0.0378,0
4,0.913,0.641,0.376,0.107,0.165,0.117,0
4,0.755,0.369,0.42,0.121,0.257,0.0384,0
4,0.586,0.321,0.49,0.0644,0.279,0.0295,0
4,0.547,0.729,0.546,0.0651,0.406,0.0285,0.00287
