mood,liveness,energy,danceability,valence,speechiness,instrumentalness,acousticness
1,0.912,0.279,0.0675,0.698,0.797,0.0145,0.0225
1,0.826,0.12,0.098,0.846,0.813,0.0867,0
1,0.827,0.199,0.0369,0.77,0.888,0.298,0.000357
1,0.587,0.177,0.038,0.718,0.423,0.000211,0.0396
1,0.68,0.31,0.0445,0.727,0.683,0.274,0
1,0.855,0.0377,0.0615,0.873,0.884,0.179,0.0285
1,0.519,0.523,0.043,0.524,0.847,0.195,0
1,0.762,0.0616,0.147,0.77,0.495,0.373,1.56E-05
1,0.517,0.385,0.0357,0.701,0.688,0.765,0
1,0.801,0.328,0.0565,0.458,0.93,0.691,0
1,0.599,0.107,0.0291,0.667,0.971,0.245,0
1,0.921,0.812,0.0988,0.595,0.937,0.178,0
1,0.7,0.32,0.038,0.713,0.961,0.0797,0.000941
1,0.482,0.148,0.0371,0.684,0.749,0.778,0.000351
1,0.499,0.111,0.0685,0.397,0.367,0.0766,1.55E-06
1,0.562,0.105,0.0281,0.749,0.807,0.215,1.10E-06
1,0.714,0.651,0.0519,0.658,0.806,0.0294,5.70E-05
1,0.774,0.394,0.048,0.698,0.731,0.12,2.26E-06
1,0.507,0.0671,0.0452,0.812,0.729,0.0399,0.0831
1,0.56,0.0535,0.0621,0.877,0.969,0.156,0.000139
1,0.811,0.132,0.0524,0.825,0.789,0.258,0.000276
1,0.491,0.229,0.171,0.886,0.971,0.29,2.46E-06
1,0.586,0.0367,0.129,0.734,0.762,0.125,0
1,0.641,0.0867,0.0799,0.774,0.875,0.0765,0
1,0.841,0.103,0.0319,0.758,0.849,0.0544,0.000153
1,0.558,0.0546,0.041,0.805,0.965,0.164,2.20E-05
1,0.607,0.128,0.0283,0.593,0.953,0.147,0
1,0.581,0.147,0.065,0.691,0.91,0.557,4.62E-05
1,0.568,0.0792,0.0672,0.588,0.952,0.16,0
1,0.683,0.35,0.086,0.789,0.882,0.48,0
1,0.826,0.366,0.0574,0.513,0.539,0.555,3.48E-05
1,0.583,0.406,0.0376,0.491,0.908,0.185,0
1,0.495,0.0542,0.027,0.737,0.967,0.0588,9.12E-06
1,0.711,0.0813,0.0472,0.63,0.659,0.299,0
1,0.563,0.0733,0.0552,0.631,0.947,0.398,0
1,0.612,0.0783,0.0381,0.682,0.845,0.284,0
1,0.271,0.0461,0.091,0.898,0.742,0.0135,0.00138
1,0.656,0.324,0.0556,0.803,0.926,0.0934,0
1,0.544,0.632,0.0442,0.832,0.928,0.201,0.000139
1,0.701,0.0737,0.0288,0.706,0.961,0.192,5.25E-06
1,0.576,0.0551,0.0343,0.68,0.893,0.00145,0.0765
1,0.672,0.061,0.0619,0.814,0.933,0.0435,0
1,0.612,0.0571,0.0852,0.814,0.681,0.0931,0.0149
1,0.41,0.174,0.0343,0.79,0.815,0.263,0.00314
1,0.847,0.345,0.042,0.855,0.89,0.234,0.00062
1,0.782,0.0693,0.0369,0.859,0.931,0.154,0.0297
1,0.906,0.0778,0.0594,0.594,0.892,0.169,0.00122
1,0.529,0.911,0.1,0.703,0.772,0.0168,0.00057
1,0.614,0.518,0.0356,0.511,0.673,0.00423,6.60E-06
1,0.815,0.0515,0.0485,0.606,0.877,0.104,0.00566
1,0.672,0.135,0.0323,0.686,0.857,0.7,0
1,0.611,0.0518,0.0311,0.588,0.937,0.197,8.79E-05
1,0.63,0.221,0.0389,0.687,0.926,0.251,0
1,0.422,0.182,0.0546,0.877,0.97,0.04,0.000406
1,0.571,0.0781,0.0501,0.895,0.933,0.208,0
1,0.58,0.1,0.0446,0.596,0.884,0.256,0
1,0.85,0.113,0.0413,0.802,0.923,0.126,0.00104
1,0.487,0.0852,0.0303,0.73,0.731,0.258,0.01
1,0.485,0.0477,0.056,0.808,0.714,0.0761,0.00414
1,0.603,0.0269,0.043,0.748,0.827,0.15,0.000261
1,0.921,0.655,0.138,0.539,0.69,0.0385,0.000102
1,0.656,0.0504,0.0336,0.773,0.966,0.612,0.00185
1,0.769,0.335,0.0606,0.344,0.923,0.261,0.000122
1,0.645,0.715,0.0634,0.611,0.748,0.724,0
1,0.588,0.351,0.0735,0.618,0.768,0.0128,0.0266
1,0.643,0.538,0.0365,0.595,0.73,0.76,0
1,0.657,0.053,0.0522,0.87,0.893,0.149,0.0102
1,0.578,0.0983,0.0676,0.611,0.884,0.0598,0.0219
1,0.355,0.0585,0.0352,0.592,0.499,0.478,0
1,0.768,0.107,0.0482,0.818,0.922,0.289,4.73E-06
1,0.658,0.197,0.0354,0.541,0.881,0.517,0
1,0.828,0.372,0.0394,0.546,0.401,0.719,0.03
