mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
3,0.678,0.656,0.0381,0.00174,0,0.0631,0.485
3,0.402,0.914,0.142,0.000579,0,0.065,0.626
3,0.383,0.9,0.134,0.00085,1.94E-06,0.271,0.286
3,0.451,0.951,0.0645,0.00038,2.39E-06,0.261,0.442
3,0.488,0.862,0.0476,0.0204,0,0.359,0.706
3,0.394,0.944,0.0761,0.00178,4.54E-06,0.298,0.265
3,0.466,0.833,0.304,0.0266,0,0.0327,0.661
3,0.62,0.93,0.0374,0.00043,0,0.0686,0.609
3,0.658,0.814,0.0558,0.229,0.00676,0.216,0.69
3,0.528,0.831,0.0429,9.43E-05,0,0.141,0.632
3,0.603,0.933,0.171,0.00591,0,0.206,0.709
3,0.402,0.97,0.0668,1.29E-05,2.62E-06,0.189,0.476
3,0.459,0.931,0.0612,0.00126,0.00881,0.412,0.419
3,0.436,0.876,0.0647,3.33E-05,0.000104,0.205,0.512
3,0.354,0.942,0.237,0.00039,6.36E-06,0.431,0.242
3,0.284,0.875,0.0422,0.00752,0.000461,0.402,0.595
3,0.425,0.852,0.046,0.0175,0.306,0.0935,0.512
3,0.401,0.953,0.0752,1.83E-05,2.56E-05,0.149,0.555
3,0.621,0.666,0.0541,0.000465,0.0839,0.0779,0.572
3,0.328,0.939,0.0423,4.93E-05,0.0065,0.337,0.329
3,0.37,0.96,0.0378,0.000241,0.0116,0.0563,0.717
3,0.32,0.909,0.0412,1.62E-05,0.139,0.0443,0.21
3,0.519,0.981,0.0733,0.00137,0.000164,0.0903,0.765
3,0.666,0.936,0.0476,0.00244,0.086,0.153,0.776
3,0.466,0.951,0.125,0.0016,0.00242,0.351,0.499
3,0.55,0.952,0.0924,0.000193,0.000666,0.0614,0.391
3,0.504,0.957,0.0529,0.00298,0,0.187,0.676
3,0.408,0.965,0.05,6.94E-06,0.000402,0.11,0.349
3,0.55,0.765,0.0287,4.76E-06,0.873,0.132,0.419
3,0.47,0.947,0.0929,0.000141,0.29,0.127,0.394
3,0.492,0.932,0.052,0.000572,4.75E-06,0.123,0.33
3,0.285,0.843,0.129,0.00103,0.00037,0.327,0.282
3,0.423,0.954,0.047,0.0021,0,0.177,0.5
3,0.438,0.905,0.0419,9.44E-06,5.40E-05,0.363,0.723
3,0.507,0.966,0.046,0.00159,0,0.336,0.502
3,0.552,0.988,0.0787,0.000108,0.309,0.846,0.619
3,0.362,0.928,0.0503,0.164,1.61E-05,0.315,0.678
3,0.355,0.791,0.0453,0.00045,0,0.0969,0.758
3,0.528,0.947,0.0518,9.31E-06,0.0632,0.165,0.661
3,0.645,0.948,0.0664,0.00527,0,0.33,0.369
3,0.457,0.902,0.0313,2.17E-05,0.196,0.258,0.834
3,0.431,0.914,0.0616,0.000243,0.0096,0.502,0.534
3,0.477,0.964,0.096,0.000295,0,0.0763,0.597
3,0.481,0.945,0.0813,0.00264,0,0.135,0.427
3,0.271,0.551,0.0272,0.0307,0.000581,0.118,0.2
3,0.333,0.877,0.0603,0.00332,0.00101,0.769,0.285
3,0.454,0.882,0.06,0.00122,0.00156,0.138,0.497
3,0.536,0.9,0.0807,0.000974,0.000286,0.157,0.627
3,0.482,0.802,0.0419,0.00263,0,0.24,0.407
3,0.509,0.843,0.0488,0.000671,0.000803,0.348,0.332
3,0.417,0.706,0.0945,0.00933,0.000572,0.474,0.512
3,0.507,0.882,0.0337,0.0053,0,0.177,0.907
3,0.579,0.812,0.0693,0.00114,0.00333,0.115,0.278
3,0.541,0.815,0.0297,0.00035,4.50E-06,0.117,0.64
3,0.663,0.977,0.0575,0.00137,1.77E-05,0.173,0.746
3,0.537,0.82,0.0345,0.000429,0,0.716,0.414
3,0.443,0.959,0.0932,9.72E-05,9.14E-06,0.351,0.669
3,0.577,0.936,0.078,0.043,1.74E-05,0.413,0.899
3,0.426,0.929,0.0701,0.00162,0.105,0.0789,0.539
3,0.642,0.823,0.0612,0.000281,0.00211,0.216,0.826
3,0.404,0.892,0.0511,3.52E-05,0.000578,0.11,0.192
3,0.371,0.866,0.039,5.91E-06,0.58,0.196,0.447
3,0.49,0.877,0.0496,0.00437,5.05E-05,0.3,0.546
3,0.4,0.946,0.0634,0.000136,0.853,0.155,0.611
3,0.532,0.929,0.0591,0.00139,0,0.0884,0.795
3,0.361,0.962,0.0661,0.0103,0.00101,0.448,0.927
3,0.493,0.943,0.0608,0.000679,0.00897,0.134,0.493
3,0.307,0.917,0.0977,1.65E-05,0.00044,0.0566,0.266
3,0.354,0.931,0.0769,0.0586,0,0.298,0.564
3,0.411,0.675,0.0591,0.063,0,0.092,0.545
3,0.621,0.785,0.11,0.0165,5.92E-06,0.0512,0.779
3,0.63,0.91,0.058,0.0231,1.91E-06,0.125,0.525
3,0.627,0.859,0.0384,0.00958,0.00345,0.121,0.491
3,0.639,0.965,0.0435,0.00632,0.148,0.364,0.408
3,0.459,0.663,0.1,0.0169,0,0.0621,0.412
3,0.579,0.834,0.306,0.203,0,0.218,0.494
3,0.729,0.868,0.155,0.14,0,0.237,0.846
3,0.687,0.818,0.0778,0.0112,0,0.248,0.886
3,0.658,0.778,0.06,0.262,0.0779,0.0773,0.627
3,0.924,0.716,0.0541,0.0177,1.15E-06,0.128,0.48
3,0.701,0.755,0.0417,0.00363,0.000795,0.121,0.116
3,0.678,0.721,0.0449,0.0331,9.90E-06,0.347,0.323
3,0.633,0.698,0.152,0.176,0,0.0935,0.268
3,0.708,0.729,0.0406,0.0233,0.000565,0.186,0.325
3,0.591,0.941,0.0627,0.0609,8.55E-06,0.182,0.479
3,0.637,0.59,0.04,0.391,0.00745,0.106,0.145
3,0.49,0.865,0.0636,0.000258,0,0.067,0.479
3,0.721,0.879,0.231,0.223,0.00214,0.226,0.653
3,0.577,0.694,0.046,0.016,9.74E-06,0.292,0.683
3,0.754,0.763,0.0435,0.0301,2.23E-05,0.0901,0.464
3,0.298,0.702,0.0727,0.0459,0,0.0895,0.192
3,0.646,0.749,0.0336,0.229,0,0.14,0.836
3,0.579,0.785,0.0761,0.1,6.67E-05,0.202,0.425
3,0.539,0.715,0.0595,0.0265,0,0.609,0.489
3,0.628,0.967,0.0538,0.0217,0.00157,0.336,0.349
3,0.712,0.819,0.0387,0.119,0,0.141,0.701
3,0.49,0.972,0.0564,0.0492,0.354,0.189,0.494
3,0.67,0.749,0.277,0.358,9.51E-05,0.0836,0.766
3,0.771,0.573,0.278,0.0191,0,0.11,0.3
3,0.516,0.789,0.163,0.000522,0.00206,0.289,0.266
3,0.723,0.837,0.0389,0.0103,0.000477,0.0834,0.643
3,0.642,0.818,0.032,0.0567,0,0.0919,0.59
3,0.669,0.547,0.0845,0.296,0,0.536,0.579
3,0.703,0.834,0.0603,0.0139,0,0.1,0.863
3,0.882,0.655,0.0401,0.106,0.00414,0.131,0.68
3,0.694,0.622,0.237,0.00603,0,0.208,0.339
3,0.454,0.785,0.0416,0.00647,0,0.463,0.353
3,0.684,0.764,0.0478,0.0237,6.50E-05,0.131,0.583
3,0.754,0.824,0.068,0.0777,0.000155,0.0444,0.683
3,0.914,0.506,0.223,0.204,0,0.103,0.428
3,0.694,0.902,0.315,0.0879,0,0.254,0.376
3,0.614,0.934,0.07,0.0697,0,0.121,0.436
3,0.446,0.982,0.153,5.72E-05,0.000234,0.364,0.23
3,0.573,0.608,0.0381,0.0138,1.30E-06,0.0828,0.28
3,0.721,0.769,0.105,0.0922,0,0.0817,0.915
3,0.604,0.823,0.0525,0.32,0,0.13,0.819
3,0.541,0.886,0.062,0.115,6.55E-06,0.384,0.729
3,0.631,0.594,0.0326,0.0791,8.94E-06,0.0745,0.808
