mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
2,0.573,0.422,0.0678,0.551,1.31E-05,0.102,0.693
2,0.681,0.453,0.0278,0.263,0,0.0543,0.348
2,0.41,0.0485,0.038,0.947,0,0.108,0.247
2,0.513,0.25,0.0367,0.913,0,0.117,0.351
2,0.556,0.538,0.0382,0.0689,0,0.196,0.291
2,0.605,0.629,0.0278,0.434,0,0.097,0.308
2,0.439,0.153,0.0479,0.874,0,0.107,0.104
2,0.402,0.151,0.04,0.907,0,0.0941,0.489
2,0.529,0.607,0.0574,0.104,0,0.0631,0.238
2,0.38,0.219,0.0358,0.917,0.0104,0.0827,0.0517
2,0.691,0.631,0.0368,0.0483,1.13E-05,0.104,0.8
2,0.709,0.22,0.0327,0.811,0,0.175,0.53
2,0.436,0.153,0.0454,0.911,0,0.129,0.415
2,0.51,0.643,0.0485,0.214,3.22E-06,0.101,0.0397
2,0.576,0.835,0.0486,0.337,0,0.082,0.476
2,0.407,0.416,0.174,0.656,0,0.0981,0.246
2,0.625,0.562,0.0289,0.149,1.67E-05,0.109,0.229
2,0.349,0.348,0.0316,0.726,0,0.12,0.0886
2,0.576,0.307,0.0428,0.807,0.000355,0.0792,0.157
2,0.593,0.2,0.0311,0.904,0,0.0897,0.17
2,0.306,0.121,0.0396,0.863,0,0.167,0.238
2,0.379,0.29,0.051,0.952,0.00106,0.118,0.169
2,0.264,0.122,0.0349,0.885,0.349,0.094,0.0735
2,0.585,0.303,0.0398,0.694,0,0.115,0.142
2,0.631,0.518,0.0303,0.274,0,0.088,0.205
2,0.445,0.179,0.0396,0.952,0.00056,0.107,0.119
2,0.551,0.268,0.0427,0.805,0,0.0977,0.335
2,0.435,0.104,0.0445,0.973,0.33,0.119,0.162
2,0.336,0.602,0.0325,0.0635,0,0.141,0.299
2,0.405,0.111,0.0369,0.964,4.37E-05,0.0872,0.219
2,0.56,0.674,0.0446,0.698,0,0.123,0.421
2,0.383,0.43,0.0302,0.817,1.04E-06,0.0869,0.174
2,0.701,0.728,0.0468,0.0178,0,0.17,0.696
2,0.63,0.53,0.0434,0.4,0,0.177,0.417
2,0.657,0.355,0.0715,0.694,0.000425,0.123,0.0808
2,0.559,0.422,0.195,0.701,1.99E-06,0.0853,0.191
2,0.488,0.487,0.0305,0.577,0,0.193,0.219
2,0.632,0.337,0.033,0.558,0,0.104,0.0982
2,0.54,0.135,0.0374,0.929,0,0.0654,0.121
2,0.481,0.267,0.0339,0.8,0,0.249,0.137
2,0.519,0.383,0.0495,0.572,0,0.124,0.157
2,0.376,0.466,0.0353,0.514,5.80E-05,0.0781,0.276
2,0.455,0.284,0.0322,0.715,1.47E-06,0.0897,0.133
2,0.558,0.451,0.0388,0.292,0,0.101,0.238
