mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
4,0.659,0.295,0.0322,0.426,6.95E-05,0.0795,0.36
4,0.547,0.287,0.149,0.514,0.774,0.119,0.177
4,0.734,0.438,0.0865,0.224,0.00292,0.215,0.645
4,0.603,0.0436,0.0408,0.963,1.11E-05,0.103,0.19
4,0.702,0.616,0.326,0.686,0,0.145,0.507
4,0.597,0.595,0.226,0.563,2.06E-06,0.291,0.592
4,0.669,0.536,0.204,0.659,0,0.096,0.379
4,0.564,0.332,0.0326,0.389,1.98E-05,0.111,0.168
4,0.357,0.425,0.0333,0.584,0,0.322,0.27
4,0.906,0.254,0.106,0.84,0.00455,0.0994,0.389
4,0.531,0.487,0.22,0.911,0.00201,0.222,0.749
4,0.586,0.269,0.593,0.979,0.000524,0.813,0.649
4,0.601,0.481,0.0634,0.689,0.0033,0.109,0.484
4,0.484,0.731,0.0379,0.431,0,0.151,0.51
4,0.885,0.581,0.0378,0.427,0.000204,0.0759,0.728
4,0.674,0.89,0.0459,0.203,0,0.0819,0.737
4,0.52,0.731,0.0557,0.342,0.00101,0.311,0.662
4,0.768,0.714,0.0401,0.352,0,0.15,0.842
4,0.707,0.681,0.0668,0.0632,5.15E-06,0.0322,0.646
4,0.704,0.797,0.0475,0.0826,0.000745,0.0546,0.825
4,0.627,0.699,0.0244,0.174,0,0.0789,0.535
4,0.552,0.702,0.157,0.117,2.06E-05,0.105,0.564
4,0.761,0.525,0.0944,0.44,6.70E-06,0.0921,0.531
4,0.81,0.636,0.0487,0.303,0,0.131,0.687
4,0.512,0.662,0.0439,0.0275,0,0.118,0.472
4,0.644,0.735,0.0391,0.0521,0.144,0.161,0.418
4,0.715,0.62,0.0484,0.417,0,0.0822,0.172
4,0.686,0.507,0.0357,0.626,7.51E-05,0.383,0.69
4,0.498,0.897,0.045,0.00136,0,0.118,0.373
4,0.783,0.592,0.0331,0.435,4.15E-06,0.347,0.726
4,0.695,0.762,0.0395,0.192,0.00244,0.0863,0.553
4,0.637,0.643,0.0519,0.13,1.80E-06,0.142,0.533
4,0.565,0.636,0.0638,0.107,9.90E-06,0.447,0.525
4,0.685,0.466,0.0304,0.794,2.06E-06,0.0915,0.353
4,0.612,0.807,0.0336,0.0495,0.0177,0.101,0.398
4,0.796,0.798,0.0317,0.034,4.19E-05,0.0952,0.942
4,0.755,0.522,0.0575,0.533,0,0.0685,0.925
4,0.669,0.742,0.0441,0.296,0,0.355,0.716
4,0.777,0.526,0.0645,0.302,0,0.105,0.389
4,0.733,0.436,0.08,0.258,0.000573,0.157,0.0976
4,0.688,0.718,0.0378,0.273,3.36E-06,0.12,0.427
4,0.696,0.809,0.05,0.252,0.000128,0.248,0.857
4,0.764,0.705,0.0278,0.0371,1.94E-05,0.0943,0.672
4,0.762,0.701,0.0286,0.235,0.000158,0.123,0.742
