mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
1,0.73,0.487,0.0303,0.258,0.01,0.0852,0.731
1,0.66,0.816,0.0299,0.168,0.0181,0.0608,0.678
1,0.887,0.48,0.117,0.0094,3.58E-05,0.0662,0.607
1,0.536,0.854,0.0298,0.0129,0.743,0.156,0.905
1,0.621,0.901,0.0302,0.17,0,0.0875,0.744
1,0.801,0.806,0.0381,0.382,0.000669,0.114,0.802
1,0.633,0.684,0.591,0.314,8.95E-05,0.112,0.725
1,0.736,0.795,0.0545,0.498,1.21E-06,0.254,0.511
1,0.857,0.557,0.0396,0.4,0,0.0932,0.461
1,0.606,0.729,0.0619,0.24,1.73E-06,0.423,0.527
1,0.816,0.466,0.0578,0.17,0,0.0924,0.274
1,0.436,0.655,0.0583,0.499,8.10E-06,0.688,0.412
1,0.646,0.743,0.338,0.147,0,0.101,0.891
1,0.642,0.396,0.0642,0.462,0.000823,0.106,0.797
1,0.684,0.607,0.1,0.0267,0.000307,0.191,0.498
1,0.794,0.766,0.0377,0.0135,0,0.0785,0.55
1,0.657,0.392,0.309,0.478,0,0.207,0.769
1,0.759,0.646,0.12,0.231,0,0.161,0.445
1,0.579,0.778,0.0887,0.0522,0.0205,0.142,0.917
1,0.642,0.706,0.052,0.518,0,0.25,0.896
1,0.954,0.516,0.16,0.03,7.54E-06,0.0504,0.624
1,0.716,0.645,0.056,0.0636,0.00109,0.089,0.619
1,0.797,0.779,0.141,0.319,0.000142,0.266,0.82
1,0.745,0.353,0.0983,0.174,0.00662,0.118,0.598
1,0.761,0.525,0.0944,0.44,6.70E-06,0.0921,0.531
1,0.768,0.714,0.0401,0.352,0,0.15,0.842
1,0.574,0.479,0.0355,0.179,0.0803,0.106,0.303
1,0.739,0.888,0.0457,0.0215,0,0.318,0.881
1,0.702,0.677,0.0506,0.132,0,0.128,0.752
1,0.831,0.601,0.0341,0.605,0.00517,0.102,0.821
1,0.671,0.876,0.0352,0.12,0.188,0.0823,0.964
1,0.679,0.762,0.0316,0.00469,0.23,0.0446,0.511
1,0.547,0.851,0.0347,0.073,0.169,0.225,0.446
1,0.671,0.845,0.048,0.0207,0,0.329,0.775
1,0.788,0.649,0.0532,0.253,0.0136,0.12,0.229
1,0.657,0.875,0.089,0.0328,0,0.267,0.745
1,0.602,0.835,0.0413,0.0921,6.43E-05,0.138,0.496
1,0.714,0.873,0.0393,0.0549,0.63,0.355,0.767
1,0.784,0.728,0.0539,0.34,0,0.222,0.713
1,0.749,0.605,0.0494,0.325,0,0.518,0.638
1,0.769,0.858,0.15,0.117,0.0186,0.157,0.86
1,0.589,0.71,0.0372,0.000333,0.0124,0.108,0.308
1,0.649,0.621,0.034,0.126,0.0267,0.143,0.74
1,0.694,0.84,0.0364,0.00375,0.0163,0.116,0.711
1,0.747,0.616,0.0324,0.176,0.116,0.143,0.908
1,0.67,0.786,0.107,0.039,0,0.433,0.578
1,0.732,0.464,0.0527,0.0899,3.10E-05,0.0997,0.647
1,0.815,0.518,0.0897,0.223,0,0.104,0.877
1,0.689,0.788,0.084,0.07,0,0.246,0.656
1,0.587,0.649,0.0416,0.224,0,0.116,0.428
1,0.97,0.547,0.243,0.00794,0.00295,0.0715,0.814
1,0.689,0.952,0.114,0.113,0.78,0.298,0.415
1,0.661,0.814,0.0581,0.0507,0,0.0831,0.683
1,0.729,0.763,0.0363,0.033,1.00E-06,0.192,0.864
1,0.708,0.746,0.0565,0.0408,0.00178,0.0815,0.672
1,0.782,0.792,0.0863,0.114,0.00857,0.0962,0.249
1,0.758,0.655,0.0305,0.143,0,0.158,0.972
1,0.711,0.81,0.0576,0.229,0,0.125,0.451
1,0.551,0.55,0.0286,0.777,0,0.202,0.342
1,0.768,0.663,0.0355,0.581,0,0.0974,0.559
1,0.746,0.622,0.241,0.201,0.00113,0.104,0.719
1,0.704,0.797,0.0475,0.0826,0.000745,0.0546,0.825
1,0.456,0.775,0.037,0.000313,0.823,0.674,0.793
1,0.695,0.762,0.0395,0.192,0.00244,0.0863,0.553
1,0.513,0.826,0.0574,0.555,3.48E-05,0.366,0.539
1,0.803,0.387,0.0723,0.207,1.98E-06,0.217,0.5
1,0.676,0.868,0.138,0.219,1.35E-05,0.377,0.701
1,0.837,0.809,0.0508,0.175,2.77E-06,0.0784,0.851
1,0.898,0.732,0.0427,0.621,1.29E-05,0.0908,0.96
1,0.637,0.768,0.056,0.458,0.00192,0.378,0.297
1,0.719,0.461,0.0454,0.279,0,0.0875,0.548
1,0.729,0.786,0.0389,0.117,0,0.265,0.729
1,0.539,0.835,0.259,0.00263,0,0.344,0.771
1,0.464,0.724,0.0705,0.0188,0,0.679,0.303
1,0.867,0.771,0.0939,0.0385,0,0.133,0.715
1,0.736,0.483,0.0682,0.505,1.39E-05,0.351,0.606
1,0.74,0.697,0.034,0.0268,0,0.224,0.732
1,0.792,0.503,0.0626,0.0369,0.00057,0.0959,0.381
1,0.622,0.375,0.0279,0.411,0,0.0812,0.221
